2025-08-28 17:58:16 | BOOT | nightly
2025-08-28 17:58:40 | DONE | nightly
2025-08-28 18:02:57 | BOOT | session
2025-08-28 18:03:08 | ERROR | failed: compute_indicators.py (exit=1)
2025-08-28 21:05:00 | BOOT | nightly
2025-08-28 21:05:22 | DONE | nightly
2025-08-28 22:29:00 | BOOT | session
2025-08-28 22:29:12 | ERROR | failed: compute_indicators.py (exit=1)
2025-08-28 23:30:01 | BOOT | cancel
2025-08-28 23:30:01 | DONE | cancel
2025-08-29 04:55:01 | BOOT | close
2025-08-29 04:55:01 | DONE | close
2025-08-29 05:10:01 | BOOT | kpi
2025-08-29 05:10:03 | DONE | kpi
2025-08-29 09:43:52 | BOOT | session
2025-08-29 09:44:06 | DONE | session
2025-08-29 10:17:48 | BOOT | session
2025-08-29 10:18:00 | DONE | session
2025-08-29 10:24:23 | BOOT | session
2025-08-29 10:24:35 | DONE | session
2025-08-29 10:58:43 | BOOT | session
2025-08-29 11:48:13 | ERROR | failed: ws_run.py (exit=-1)
2025-08-29 12:50:47 | BOOT | session
2025-08-29 14:08:57 | BOOT | session
2025-08-29 14:09:27 | ERROR | failed: ws_run.py (exit=1)
2025-08-29 14:11:53 | BOOT | session
2025-08-29 15:23:00 | BOOT | session
2025-08-29 15:37:39 | BOOT | session
2025-08-29 15:37:41 | DONE | session
2025-08-29 21:05:01 | BOOT | nightly
2025-08-29 21:05:26 | DONE | nightly
2025-08-29 22:29:00 | BOOT | session
2025-08-29 22:30:17 | DONE | session
2025-08-29 23:30:00 | BOOT | cancel
2025-08-29 23:30:01 | DONE | cancel
2025-08-30 04:55:00 | BOOT | close
2025-08-30 04:55:01 | DONE | close
2025-08-30 05:10:00 | BOOT | kpi
2025-08-30 05:10:01 | DONE | kpi
2025-08-30 21:05:02 | BOOT | nightly
2025-08-30 21:05:26 | DONE | nightly
2025-08-30 22:29:01 | BOOT | session
2025-08-30 22:30:18 | DONE | session
2025-08-30 23:30:01 | BOOT | cancel
2025-08-30 23:30:02 | DONE | cancel
2025-08-31 04:55:01 | BOOT | close
2025-08-31 04:55:02 | DONE | close
2025-08-31 05:10:02 | BOOT | kpi
2025-08-31 05:10:02 | DONE | kpi
2025-08-31 17:04:02 | BOOT | session
2025-08-31 17:04:10 | DONE | session
2025-08-31 18:01:31 | BOOT | session
2025-08-31 18:03:04 | DONE | session
2025-08-31 18:34:30 | BOOT | session
2025-08-31 18:36:03 | DONE | session
2025-08-31 18:59:36 | BOOT | session
2025-08-31 19:01:08 | DONE | session
2025-08-31 21:05:01 | BOOT | nightly
2025-08-31 21:05:23 | DONE | nightly
2025-08-31 22:29:01 | BOOT | session
2025-08-31 22:29:11 | DONE | session
2025-08-31 23:30:01 | BOOT | cancel
2025-08-31 23:30:01 | DONE | cancel
2025-09-01 04:55:01 | BOOT | close
2025-09-01 04:55:01 | DONE | close
2025-09-01 05:10:01 | BOOT | kpi
2025-09-01 05:10:02 | DONE | kpi
2025-09-01 12:39:42 | BOOT | session
2025-09-01 12:39:53 | DONE | session
2025-09-01 21:05:02 | BOOT | nightly
2025-09-01 21:05:27 | DONE | nightly
2025-09-01 22:29:02 | BOOT | session
2025-09-01 22:29:08 | DONE | session
2025-09-01 23:30:02 | BOOT | cancel
2025-09-01 23:30:02 | DONE | cancel
2025-09-02 04:55:02 | BOOT | close
2025-09-02 04:55:02 | DONE | close
2025-09-02 05:10:02 | BOOT | kpi
2025-09-02 05:10:03 | DONE | kpi
2025-09-02 05:40:04 | BOOT | session
2025-09-02 06:11:55 | BOOT | session
2025-09-02 21:05:02 | BOOT | nightly
2025-09-02 21:05:26 | DONE | nightly
2025-09-02 22:29:02 | BOOT | session
2025-09-02 23:30:02 | BOOT | cancel
2025-09-02 23:30:02 | ERROR | The process cannot access the file 'E:\BOT_WEBULL\data\logs\bot.log' because it is being used by another process.
